topic,essay,label,reason
Tourism in Nepal,My computer is very fast.,irrelevant,Off-topic

Importance of physical exercise,Regular exercise improves physical and mental health.,relevant,Relevant essay
Importance of physical exercise,People who exercise regularly have lower health risks.,relevant,Relevant answer
Importance of physical exercise,Exercise helps reduce stress and improves concentration.,relevant,Relevant discussion
Importance of physical exercise,Daily physical activity promotes a healthy lifestyle.,relevant,Relevant response
Importance of physical exercise,Online shopping is becoming more popular.,irrelevant,Wrong topic
Importance of physical exercise,I visited Pokhara during my vacation.,irrelevant,Off-topic

Artificial intelligence in education,Artificial intelligence can personalize learning for students.,relevant,Relevant essay
Artificial intelligence in education,AI helps teachers identify students who need additional support.,relevant,Relevant answer
Artificial intelligence in education,Although AI improves learning teachers remain important.,relevant,Relevant discussion
Artificial intelligence in education,Educational technology increases learning efficiency.,relevant,Relevant response
Artificial intelligence in education,My favorite animal is a dog.,irrelevant,Different topic
Artificial intelligence in education,I usually wake up at six every morning.,irrelevant,Off-topic

Public transportation,Public transportation reduces traffic congestion and pollution.,relevant,Relevant essay
Public transportation,Governments should invest more in buses and railways.,relevant,Relevant answer
Public transportation,Efficient public transport improves economic productivity.,relevant,Relevant discussion
Public transportation,Affordable transportation benefits low-income families.,relevant,Relevant response
Public transportation,I enjoy reading science fiction books.,irrelevant,Wrong topic
Public transportation,The weather was sunny yesterday.,irrelevant,Off-topic

Healthy eating habits,A balanced diet improves overall health and prevents disease.,relevant,Relevant essay
Healthy eating habits,Eating fruits and vegetables supports a healthy lifestyle.,relevant,Relevant answer
Healthy eating habits,People should reduce sugar and processed food consumption.,relevant,Relevant discussion
Healthy eating habits,Healthy eating combined with exercise leads to better wellbeing.,relevant,Relevant response
Healthy eating habits,The internet has changed communication.,irrelevant,Different topic
Healthy eating habits,My brother plays cricket every weekend.,irrelevant,Off-topic

The impact of technology on society,Technology has improved communication healthcare and education.,relevant,Relevant essay
The impact of technology on society,Modern technology increases productivity in many industries.,relevant,Relevant answer
The impact of technology on society,Although technology offers many benefits it also raises privacy concerns.,relevant,Relevant discussion
The impact of technology on society,Digital innovation has transformed everyday life.,relevant,Relevant response
The impact of technology on society,I like chocolate ice cream.,irrelevant,Wrong topic
The impact of technology on society,My uncle works in Australia.,irrelevant,Off-topic

Should governments invest more in renewable energy,Governments should prioritize renewable energy to reduce pollution.,relevant,Addresses the topic
Should governments invest more in renewable energy,Renewable energy reduces dependence on fossil fuels.,relevant,Relevant discussion
Should governments invest more in renewable energy,Solar and wind energy are sustainable for the future.,relevant,Relevant answer
Should governments invest more in renewable energy,Investment in green energy creates new employment opportunities.,relevant,Relevant response
Should governments invest more in renewable energy,I like watching movies on weekends.,irrelevant,Wrong topic
Should governments invest more in renewable energy,The table is made of wood.,irrelevant,Off-topic

Benefits of learning a second language,Learning a second language improves cognitive abilities.,relevant,Addresses the topic
Benefits of learning a second language,Bilingual individuals have better career opportunities.,relevant,Relevant discussion
Benefits of learning a second language,Speaking multiple languages helps in international travel.,relevant,Relevant answer
Benefits of learning a second language,Language learning enhances communication and cultural understanding.,relevant,Relevant response
Benefits of learning a second language,My house has a beautiful garden.,irrelevant,Wrong topic
Benefits of learning a second language,I eat rice every day.,irrelevant,Off-topic

Should animals be kept in zoos,Zoological parks protect endangered species from extinction.,relevant,Addresses the topic
Should animals be kept in zoos,Zoos provide education and awareness about wildlife.,relevant,Relevant discussion
Should animals be kept in zoos,Ethical concerns arise about animal captivity in zoos.,relevant,Relevant answer
Should animals be kept in zoos,Modern zoos should focus on conservation and animal welfare.,relevant,Relevant response
Should animals be kept in zoos,My favorite subject is mathematics.,irrelevant,Wrong topic
Should animals be kept in zoos,The sky is very blue today.,irrelevant,Off-topic

Advantages and disadvantages of working from home,Working from home offers flexibility and work-life balance.,relevant,Addresses the topic
Advantages and disadvantages of working from home,Remote work reduces commuting time and expenses.,relevant,Relevant discussion
Advantages and disadvantages of working from home,Lack of social interaction is a major drawback of remote work.,relevant,Relevant answer
Advantages and disadvantages of working from home,Home offices improve productivity and comfort.,relevant,Relevant response
Advantages and disadvantages of working from home,I love playing football with friends.,irrelevant,Wrong topic
Advantages and disadvantages of working from home,The coffee is very hot.,irrelevant,Off-topic

Importance of preserving traditional culture,Preserving traditional culture strengthens national identity.,relevant,Addresses the topic
Importance of preserving traditional culture,Cultural heritage passes knowledge to future generations.,relevant,Relevant discussion
Importance of preserving traditional culture,Traditions and festivals unite communities.,relevant,Relevant answer
Importance of preserving traditional culture,Globalization threatens many traditional practices.,relevant,Relevant response
Importance of preserving traditional culture,My car is very expensive.,irrelevant,Wrong topic
Importance of preserving traditional culture,I drink tea every morning.,irrelevant,Off-topic

Effects of fast food on health,Consuming fast food regularly leads to health problems.,relevant,Addresses the topic
Effects of fast food on health,High-calorie fast food contributes to obesity.,relevant,Relevant discussion
Effects of fast food on health,Processed food increases the risk of heart disease.,relevant,Relevant answer
Effects of fast food on health,Healthy food choices prevent chronic diseases.,relevant,Relevant response
Effects of fast food on health,The mountain is very tall.,irrelevant,Wrong topic
Effects of fast food on health,My brother is a pilot.,irrelevant,Off-topic

Should children have mobile phones,Mobile phones help parents stay in touch with children.,relevant,Addresses the topic
Should children have mobile phones,Children can access educational apps and resources.,relevant,Relevant discussion
Should children have mobile phones,Excessive screen time can harm children's development.,relevant,Relevant answer
Should children have mobile phones,Parental guidance is important for responsible phone use.,relevant,Relevant response
Should children have mobile phones,I like sleeping in the afternoon.,irrelevant,Wrong topic
Should children have mobile phones,The river flows very fast.,irrelevant,Off-topic

Impact of social media on relationships,Social media connects people across long distances.,relevant,Addresses the topic
Impact of social media on relationships,Online communication can strengthen friendships.,relevant,Relevant discussion
Impact of social media on relationships,Excessive social media use reduces face-to-face interaction.,relevant,Relevant answer
Impact of social media on relationships,Social platforms help maintain family connections.,relevant,Relevant response
Impact of social media on relationships,My favorite food is pizza.,irrelevant,Wrong topic
Impact of social media on relationships,The lamp is very bright.,irrelevant,Off-topic

Benefits of regular meditation,Meditation reduces stress and improves concentration.,relevant,Addresses the topic
Benefits of regular meditation,Regular practice enhances mental clarity.,relevant,Relevant discussion
Benefits of regular meditation,Meditation promotes emotional wellbeing and peace.,relevant,Relevant answer
Benefits of regular meditation,People who meditate often have better sleep quality.,relevant,Relevant response
Benefits of regular meditation,I enjoy watching cricket matches.,irrelevant,Wrong topic
Benefits of regular meditation,The floor is very clean.,irrelevant,Off-topic

Should governments regulate the internet,Internet regulation prevents cyber crimes and fraud.,relevant,Addresses the topic
Should governments regulate the internet,Regulation protects privacy and personal data.,relevant,Relevant discussion
Should governments regulate the internet,Overregulation can limit freedom of expression.,relevant,Relevant answer
Should governments regulate the internet,Governments should balance security and freedom online.,relevant,Relevant response
Should governments regulate the internet,My uncle is a businessman.,irrelevant,Wrong topic
Should governments regulate the internet,I walk to school every day.,irrelevant,Off-topic

Importance of water conservation,Water conservation ensures resources for future generations.,relevant,Addresses the topic
Importance of water conservation,Reducing water wastage protects the environment.,relevant,Relevant discussion
Importance of water conservation,Everyone should practice rainwater harvesting.,relevant,Relevant answer
Importance of water conservation,Conserving water reduces the impact of droughts.,relevant,Relevant response
Importance of water conservation,My favorite color is blue.,irrelevant,Wrong topic
Importance of water conservation,The chair is very comfortable.,irrelevant,Off-topic

Advantages and disadvantages of nuclear energy,Nuclear energy produces low carbon emissions.,relevant,Addresses the topic
Advantages and disadvantages of nuclear energy,Nuclear power offers a reliable energy source.,relevant,Relevant discussion
Advantages and disadvantages of nuclear energy,Nuclear waste disposal is a major environmental concern.,relevant,Relevant answer
Advantages and disadvantages of nuclear energy,Safety concerns make nuclear energy controversial.,relevant,Relevant response
Advantages and disadvantages of nuclear energy,I love singing in my free time.,irrelevant,Wrong topic
Advantages and disadvantages of nuclear energy,The window is very large.,irrelevant,Off-topic

Should sports be compulsory in schools,Physical education promotes fitness and teamwork.,relevant,Addresses the topic
Should sports be compulsory in schools,Schools should include sports in their curriculum.,relevant,Relevant discussion
Should sports be compulsory in schools,Sports help students develop discipline and leadership.,relevant,Relevant answer
Should sports be compulsory in schools,Compulsory sports can improve overall student health.,relevant,Relevant response
Should sports be compulsory in schools,My phone is very expensive.,irrelevant,Wrong topic
Should sports be compulsory in schools,I drink juice every evening.,irrelevant,Off-topic

Impact of globalization on culture,Globalization spreads cultural awareness and diversity.,relevant,Addresses the topic
Impact of globalization on culture,International exchange enriches local traditions.,relevant,Relevant discussion
Impact of globalization on culture,Local cultures sometimes decline due to globalization.,relevant,Relevant answer
Impact of globalization on culture,Globalization creates a more connected world.,relevant,Relevant response
Impact of globalization on culture,My sister is a nurse.,irrelevant,Wrong topic
Impact of globalization on culture,The carpet is very soft.,irrelevant,Off-topic

Benefits of reading books regularly,Reading regularly improves vocabulary and knowledge.,relevant,Addresses the topic
Benefits of reading books regularly,Books reduce stress and enhance imagination.,relevant,Relevant discussion
Benefits of reading books regularly,Reading develops critical thinking skills.,relevant,Relevant answer
Benefits of reading books regularly,Regular readers perform better in academics.,relevant,Relevant response
Benefits of reading books regularly,I like playing video games.,irrelevant,Wrong topic
Benefits of reading books regularly,The road is very long.,irrelevant,Off-topic

Should fast food advertising be banned,Banning fast food ads can reduce childhood obesity.,relevant,Addresses the topic
Should fast food advertising be banned,Advertising influences unhealthy eating habits.,relevant,Relevant discussion
Should fast food advertising be banned,Governments should restrict junk food marketing.,relevant,Relevant answer
Should fast food advertising be banned,Advertisements promote excessive consumption of processed food.,relevant,Relevant response
Should fast food advertising be banned,My cousin is a doctor.,irrelevant,Wrong topic
Should fast food advertising be banned,The sun is very bright.,irrelevant,Off-topic

Importance of financial literacy,Financial literacy helps people manage money wisely.,relevant,Addresses the topic
Importance of financial literacy,Understanding finance prevents debt problems.,relevant,Relevant discussion
Importance of financial literacy,Schools should teach students about money management.,relevant,Relevant answer
Importance of financial literacy,Financial education leads to better investment decisions.,relevant,Relevant response
Importance of financial literacy,I enjoy hiking in the mountains.,irrelevant,Wrong topic
Importance of financial literacy,The glass is very clean.,irrelevant,Off-topic

Advantages and disadvantages of space exploration,Space exploration advances scientific knowledge and technology.,relevant,Addresses the topic
Advantages and disadvantages of space exploration,Discoveries in space benefit life on Earth.,relevant,Relevant discussion
Advantages and disadvantages of space exploration,Space missions are very expensive and risky.,relevant,Relevant answer
Advantages and disadvantages of space exploration,Space research inspires future generations.,relevant,Relevant response
Advantages and disadvantages of space exploration,My favorite animal is a dog.,irrelevant,Wrong topic
Advantages and disadvantages of space exploration,I wake up at 6 AM daily.,irrelevant,Off-topic

Should schools teach coding classes,Teaching coding prepares students for future careers.,relevant,Addresses the topic
Should schools teach coding classes,Computer skills are essential in the digital age.,relevant,Relevant discussion
Should schools teach coding classes,Coding develops problem-solving skills.,relevant,Relevant answer
Should schools teach coding classes,Early exposure to technology encourages innovation.,relevant,Relevant response
Should schools teach coding classes,The mountain has beautiful scenery.,irrelevant,Wrong topic
Should schools teach coding classes,I eat breakfast every morning.,irrelevant,Off-topic

Impact of deforestation on the environment,Deforestation contributes to climate change and habitat loss.,relevant,Addresses the topic
Impact of deforestation on the environment,Loss of forests leads to soil erosion.,relevant,Relevant discussion
Impact of deforestation on the environment,Forests absorb carbon dioxide and produce oxygen.,relevant,Relevant answer
Impact of deforestation on the environment,Protecting forests is essential for environmental balance.,relevant,Relevant response
Impact of deforestation on the environment,I like traveling by train.,irrelevant,Wrong topic
Impact of deforestation on the environment,The desk is very heavy.,irrelevant,Off-topic

Benefits of volunteering in the community,Volunteering builds stronger and more connected communities.,relevant,Addresses the topic
Benefits of volunteering in the community,Helping others brings personal satisfaction and growth.,relevant,Relevant discussion
Benefits of volunteering in the community,Community service develops empathy and leadership skills.,relevant,Relevant answer
Benefits of volunteering in the community,Volunteering creates positive social change.,relevant,Relevant response
Benefits of volunteering in the community,My brother is a mechanic.,irrelevant,Wrong topic
Benefits of volunteering in the community,The tree is very tall.,irrelevant,Off-topic

Should exams be abolished in schools,Exams measure student performance effectively.,relevant,Addresses the topic
Should exams be abolished in schools,Exams cause stress and anxiety among students.,relevant,Relevant discussion
Should exams be abolished in schools,Alternative assessments may be more beneficial.,relevant,Relevant answer
Should exams be abolished in schools,Exams ensure academic standards are maintained.,relevant,Relevant response
Should exams be abolished in schools,I love watching cricket.,irrelevant,Wrong topic
Should exams be abolished in schools,The water is very cold.,irrelevant,Off-topic

Impact of air pollution on health,Air pollution causes respiratory diseases and allergies.,relevant,Addresses the topic
Impact of air pollution on health,Poor air quality increases hospital admissions.,relevant,Relevant discussion
Impact of air pollution on health,Reducing emissions improves public health.,relevant,Relevant answer
Impact of air pollution on health,Long-term exposure to pollution is harmful.,relevant,Relevant response
Impact of air pollution on health,My uncle is a teacher.,irrelevant,Wrong topic
Impact of air pollution on health,The door is very old.,irrelevant,Off-topic

Advantages of learning music,Learning music enhances cognitive abilities and memory.,relevant,Addresses the topic
Advantages of learning music,Music education improves discipline and patience.,relevant,Relevant discussion
Advantages of learning music,Playing instruments reduces stress and anxiety.,relevant,Relevant answer
Advantages of learning music,Musical skills promote creativity and self-expression.,relevant,Relevant response
Advantages of learning music,I like eating ice cream.,irrelevant,Wrong topic
Advantages of learning music,The wall is painted white.,irrelevant,Off-topic

Should plastic bags be banned,Banning plastic bags reduces environmental pollution.,relevant,Addresses the topic
Should plastic bags be banned,Plastic bags harm wildlife and marine life.,relevant,Relevant discussion
Should plastic bags be banned,Reusable bags are better for the environment.,relevant,Relevant answer
Should plastic bags be banned,Governments should enforce plastic bag bans.,relevant,Relevant response
Should plastic bags be banned,My sister is a lawyer.,irrelevant,Wrong topic
Should plastic bags be banned,The lamp is very small.,irrelevant,Off-topic

Should the government fund public libraries,Public libraries provide free access to knowledge and education.,relevant,Addresses the topic
Should the government fund public libraries,Libraries are important community spaces for learning.,relevant,Relevant discussion
Should the government fund public libraries,Government funding ensures equal access to information.,relevant,Relevant answer
Should the government fund public libraries,I like watching movies on weekends.,irrelevant,Wrong topic
Should the government fund public libraries,The coffee is very hot today.,irrelevant,Off-topic
Should the government fund public libraries,My father is a businessman.,irrelevant,Unrelated

Benefits of traveling abroad,Traveling abroad exposes people to new cultures and perspectives.,relevant,Addresses the topic
Benefits of traveling abroad,International travel improves language skills.,relevant,Relevant discussion
Benefits of traveling abroad,Exploring new countries creates lasting memories.,relevant,Relevant answer
Benefits of traveling abroad,I enjoy eating pizza every day.,irrelevant,Wrong topic
Benefits of traveling abroad,The sun is very bright today.,irrelevant,Off-topic
Benefits of traveling abroad,My brother plays football.,irrelevant,Unrelated

Should homework be banned,Homework reinforces what students learn in school.,relevant,Addresses the topic
Should homework be banned,Excessive homework causes stress in students.,relevant,Relevant discussion
Should homework be banned,A balanced approach to homework is beneficial.,relevant,Relevant answer
Should homework be banned,My favorite color is green.,irrelevant,Wrong topic
Should homework be banned,The door is very heavy.,irrelevant,Off-topic
Should homework be banned,I wake up at 7 AM daily.,irrelevant,Unrelated

Impact of plastic pollution,Plastic waste harms marine ecosystems and wildlife.,relevant,Addresses the topic
Impact of plastic pollution,Reducing plastic use protects the environment.,relevant,Relevant discussion
Impact of plastic pollution,Plastic pollution threatens biodiversity in oceans.,relevant,Relevant answer
Impact of plastic pollution,I love playing cricket in the evening.,irrelevant,Wrong topic
Impact of plastic pollution,The chair is very comfortable.,irrelevant,Off-topic
Impact of plastic pollution,My aunt is a nurse.,irrelevant,Unrelated

Advantages of starting a business,Starting a business offers independence and financial freedom.,relevant,Addresses the topic
Advantages of starting a business,Entrepreneurship creates job opportunities for others.,relevant,Relevant discussion
Advantages of starting a business,Business ownership leads to personal growth.,relevant,Relevant answer
Advantages of starting a business,I like reading fantasy novels.,irrelevant,Wrong topic
Advantages of starting a business,The river flows very fast.,irrelevant,Off-topic
Advantages of starting a business,My cousin is a doctor.,irrelevant,Unrelated

Should schools teach financial management,Financial education prepares students for adult life.,relevant,Addresses the topic
Should schools teach financial management,Teaching budgeting and saving is essential.,relevant,Relevant discussion
Should schools teach financial management,Financial literacy reduces debt problems.,relevant,Relevant answer
Should schools teach financial management,I enjoy hiking in the mountains.,irrelevant,Wrong topic
Should schools teach financial management,The glass is very clean.,irrelevant,Off-topic
Should schools teach financial management,My uncle is a pilot.,irrelevant,Unrelated

Effects of urbanization,Urbanization leads to better infrastructure and services.,relevant,Addresses the topic
Effects of urbanization,City growth creates economic opportunities.,relevant,Relevant discussion
Effects of urbanization,Urban expansion often causes environmental problems.,relevant,Relevant answer
Effects of urbanization,My favorite food is noodles.,irrelevant,Wrong topic
Effects of urbanization,The lamp is very bright.,irrelevant,Off-topic
Effects of urbanization,My sister is a teacher.,irrelevant,Unrelated

Importance of early childhood education,Early education builds a strong foundation for learning.,relevant,Addresses the topic
Importance of early childhood education,Children learn social skills through early education.,relevant,Relevant discussion
Importance of early childhood education,Investing in early education benefits society.,relevant,Relevant answer
Importance of early childhood education,I like swimming in the pool.,irrelevant,Wrong topic
Importance of early childhood education,The floor is very cold.,irrelevant,Off-topic
Importance of early childhood education,My brother is a mechanic.,irrelevant,Unrelated

Should governments encourage organic farming,Organic farming promotes healthier food production.,relevant,Addresses the topic
Should governments encourage organic farming,Government support for organic farming is beneficial.,relevant,Relevant discussion
Should governments encourage organic farming,Organic farming reduces chemical pollution.,relevant,Relevant answer
Should governments encourage organic farming,I enjoy watching television shows.,irrelevant,Wrong topic
Should governments encourage organic farming,The road is very bumpy.,irrelevant,Off-topic
Should governments encourage organic farming,My cousin is a lawyer.,irrelevant,Unrelated

Benefits of team sports,Team sports teach cooperation and communication.,relevant,Addresses the topic
Benefits of team sports,Playing in a team builds friendships and trust.,relevant,Relevant discussion
Benefits of team sports,Team sports develop leadership abilities.,relevant,Relevant answer
Benefits of team sports,I like eating chocolate cake.,irrelevant,Wrong topic
Benefits of team sports,The window is very small.,irrelevant,Off-topic
Benefits of team sports,My uncle is a farmer.,irrelevant,Unrelated

Impact of video games on children,Video games improve problem-solving skills in children.,relevant,Addresses the topic
Impact of video games on children,Excessive gaming can lead to addiction.,relevant,Relevant discussion
Impact of video games on children,Parents should monitor gaming habits carefully.,relevant,Relevant answer
Impact of video games on children,My favorite season is summer.,irrelevant,Wrong topic
Impact of video games on children,The carpet is very soft.,irrelevant,Off-topic
Impact of video games on children,My sister is a dentist.,irrelevant,Unrelated

Should single-use plastics be banned,Plastic bans help protect the environment.,relevant,Addresses the topic
Should single-use plastics be banned,Eliminating single-use plastics is essential.,relevant,Relevant discussion
Should single-use plastics be banned,Banning plastics reduces ocean pollution.,relevant,Relevant answer
Should single-use plastics be banned,I love traveling to new places.,irrelevant,Wrong topic
Should single-use plastics be banned,The tree is very old.,irrelevant,Off-topic
Should single-use plastics be banned,My brother is a businessman.,irrelevant,Unrelated

Importance of mental health awareness,Mental health awareness reduces stigma and encourages support.,relevant,Addresses the topic
Importance of mental health awareness,Recognizing mental health issues is important.,relevant,Relevant discussion
Importance of mental health awareness,Better mental health leads to happier lives.,relevant,Relevant answer
Importance of mental health awareness,I enjoy playing the guitar.,irrelevant,Wrong topic
Importance of mental health awareness,The table is very round.,irrelevant,Off-topic
Importance of mental health awareness,My cousin is an engineer.,irrelevant,Unrelated

Advantages of public parks,Public parks provide spaces for recreation and exercise.,relevant,Addresses the topic
Advantages of public parks,Parks improve community wellbeing and environment.,relevant,Relevant discussion
Advantages of public parks,Green spaces reduce stress and pollution.,relevant,Relevant answer
Advantages of public parks,I like eating burgers sometimes.,irrelevant,Wrong topic
Advantages of public parks,The chair is very heavy.,irrelevant,Off-topic
Advantages of public parks,My aunt is a mechanic.,irrelevant,Unrelated

Should schools teach arts and music,Arts and music education fosters creativity in students.,relevant,Addresses the topic
Should schools teach arts and music,Creative subjects develop emotional expression.,relevant,Relevant discussion
Should schools teach arts and music,Learning music enhances cognitive development.,relevant,Relevant answer
Should schools teach arts and music,I love watching cricket matches.,irrelevant,Wrong topic
Should schools teach arts and music,The wall is very high.,irrelevant,Off-topic
Should schools teach arts and music,My uncle is a lawyer.,irrelevant,Unrelated

Impact of industrial farming,Industrial farming increases food production efficiency.,relevant,Addresses the topic
Impact of industrial farming,Farming methods can harm the environment.,relevant,Relevant discussion
Impact of industrial farming,Sustainable farming practices are important.,relevant,Relevant answer
Impact of industrial farming,My favorite subject is science.,irrelevant,Wrong topic
Impact of industrial farming,The mountain is very beautiful.,irrelevant,Off-topic
Impact of industrial farming,My brother is a pilot.,irrelevant,Unrelated

Benefits of learning online,Online learning offers flexibility for students.,relevant,Addresses the topic
Benefits of learning online,Digital education provides access to global resources.,relevant,Relevant discussion
Benefits of learning online,Online courses accommodate busy schedules.,relevant,Relevant answer
Benefits of learning online,I enjoy swimming in the sea.,irrelevant,Wrong topic
Benefits of learning online,The glass is very shiny.,irrelevant,Off-topic
Benefits of learning online,My sister is a nurse.,irrelevant,Unrelated

Should we use animals for scientific research,Animal research has contributed to medical advancements.,relevant,Addresses the topic
Should we use animals for scientific research,Alternatives to animal testing should be explored.,relevant,Relevant discussion
Should we use animals for scientific research,Ethical treatment of animals is essential.,relevant,Relevant answer
Should we use animals for scientific research,I like reading adventure stories.,irrelevant,Wrong topic
Should we use animals for scientific research,The door is very wide.,irrelevant,Off-topic
Should we use animals for scientific research,My cousin is a teacher.,irrelevant,Unrelated

Importance of vocational training,Vocational training prepares students for practical careers.,relevant,Addresses the topic
Importance of vocational training,Skill-based education reduces unemployment.,relevant,Relevant discussion
Importance of vocational training,Technical education supports economic growth.,relevant,Relevant answer
Importance of vocational training,I enjoy cycling in the park.,irrelevant,Wrong topic
Importance of vocational training,The floor is very dirty.,irrelevant,Off-topic
Importance of vocational training,My uncle is a businessman.,irrelevant,Unrelated

Advantages of urban gardening,Urban gardening provides fresh food and green spaces.,relevant,Addresses the topic
Advantages of urban gardening,Gardening in cities improves air quality.,relevant,Relevant discussion
Advantages of urban gardening,Community gardens bring people together.,relevant,Relevant answer
Advantages of urban gardening,I like watching movies at home.,irrelevant,Wrong topic
Advantages of urban gardening,The chair is very small.,irrelevant,Off-topic
Advantages of urban gardening,My aunt is a doctor.,irrelevant,Unrelated

Should governments tax unhealthy food,Taxing unhealthy food encourages healthier eating.,relevant,Addresses the topic
Should governments tax unhealthy food,Sugar taxes can reduce obesity rates.,relevant,Relevant discussion
Should governments tax unhealthy food,Fiscal policies influence consumer food choices.,relevant,Relevant answer
Should governments tax unhealthy food,I enjoy playing chess sometimes.,irrelevant,Wrong topic
Should governments tax unhealthy food,The river is very clean.,irrelevant,Off-topic
Should governments tax unhealthy food,My brother is a lawyer.,irrelevant,Unrelated

Impact of remote learning,Remote learning increases educational accessibility.,relevant,Addresses the topic
Impact of remote learning,Digital learning offers varied resources.,relevant,Relevant discussion
Impact of remote learning,Students need discipline for online learning.,relevant,Relevant answer
Impact of remote learning,I like dancing in my free time.,irrelevant,Wrong topic
Impact of remote learning,The lamp is very dim.,irrelevant,Off-topic
Impact of remote learning,My cousin is a mechanic.,irrelevant,Unrelated

Benefits of preserving historical buildings,Historical buildings preserve cultural identity.,relevant,Addresses the topic
Benefits of preserving historical buildings,Heritage sites attract tourism and investment.,relevant,Relevant discussion
Benefits of preserving historical buildings,Old buildings teach us about history.,relevant,Relevant answer
Benefits of preserving historical buildings,I enjoy cooking various dishes.,irrelevant,Wrong topic
Benefits of preserving historical buildings,The window is very tall.,irrelevant,Off-topic
Benefits of preserving historical buildings,My sister is a doctor.,irrelevant,Unrelated

Should children learn to cook at school,Cooking skills are essential for healthy living.,relevant,Addresses the topic
Should children learn to cook at school,Teaching cooking promotes healthy eating habits.,relevant,Relevant discussion
Should children learn to cook at school,Home economics classes are valuable for students.,relevant,Relevant answer
Should children learn to cook at school,I like playing basketball outdoors.,irrelevant,Wrong topic
Should children learn to cook at school,The road is very straight.,irrelevant,Off-topic
Should children learn to cook at school,My uncle is a teacher.,irrelevant,Unrelated

Impact of mobile phones on communication,Mobile phones enable instant global communication.,relevant,Addresses the topic
Impact of mobile phones on communication,Smartphones connect people across distances.,relevant,Relevant discussion
Impact of mobile phones on communication,Excessive phone use reduces real conversations.,relevant,Relevant answer
Impact of mobile phones on communication,I enjoy listening to music often.,irrelevant,Wrong topic
Impact of mobile phones on communication,The table is very old.,irrelevant,Off-topic
Impact of mobile phones on communication,My cousin is a pilot.,irrelevant,Unrelated

Should governments invest in public healthcare,Public healthcare ensures medical access for all citizens.,relevant,Addresses the topic
Should governments invest in public healthcare,Government investment improves hospital infrastructure.,relevant,Relevant discussion
Should governments invest in public healthcare,Healthcare funding saves lives and prevents disease.,relevant,Relevant answer
Should governments invest in public healthcare,I like watching football matches.,irrelevant,Wrong topic
Should governments invest in public healthcare,The sun is very bright today.,irrelevant,Off-topic
Should governments invest in public healthcare,My sister is a teacher.,irrelevant,Unrelated

Importance of recycling waste,Recycling reduces landfill waste and pollution.,relevant,Addresses the topic
Importance of recycling waste,Separating waste helps conserve natural resources.,relevant,Relevant discussion
Importance of recycling waste,Recycling programs benefit communities and environment.,relevant,Relevant answer
Importance of recycling waste,I enjoy playing video games.,irrelevant,Wrong topic
Importance of recycling waste,The coffee is very strong.,irrelevant,Off-topic
Importance of recycling waste,My brother is a businessman.,irrelevant,Unrelated

Advantages of learning to drive,Driving provides independence and mobility.,relevant,Addresses the topic
Advantages of learning to drive,Knowing how to drive is a valuable skill.,relevant,Relevant discussion
Advantages of learning to drive,Driving makes commuting easier and faster.,relevant,Relevant answer
