question,response,label,reason
Why are you learning English?,My favorite sport is cricket.,irrelevant,Off-topic
Why are you learning English?,I have one younger brother.,irrelevant,Different topic

Do you like traveling?,"Yes, I love traveling because I enjoy exploring new places.",relevant,Answers directly
Do you like traveling?,"Yes, I travel whenever I have free time.",relevant,Relevant answer
Do you like traveling?,I enjoy visiting mountains and lakes.,relevant,Relevant explanation
Do you like traveling?,Traveling teaches me about different cultures.,relevant,Correct response
Do you like traveling?,Bananas are healthy fruits.,irrelevant,Off-topic
Do you like traveling?,I usually sleep eight hours.,irrelevant,Different topic

What kind of music do you like?,I like pop music because it is relaxing.,relevant,Correct answer
What kind of music do you like?,I enjoy listening to classical music.,relevant,Relevant response
What kind of music do you like?,Rock music is my favorite.,relevant,Answers correctly
What kind of music do you like?,I mostly listen to Nepali songs.,relevant,Relevant answer
What kind of music do you like?,I have two sisters.,irrelevant,Off-topic
What kind of music do you like?,My school starts at eight.,irrelevant,Different topic

What is your favorite season?,My favorite season is spring because the weather is pleasant.,relevant,Correct explanation
What is your favorite season?,I enjoy winter because I like cold weather.,relevant,Relevant answer
What is your favorite season?,Summer is my favorite season.,relevant,Answers correctly
What is your favorite season?,I prefer autumn because it is beautiful.,relevant,Relevant response
What is your favorite season?,Computers are very useful.,irrelevant,Off-topic
What is your favorite season?,My uncle lives in Australia.,irrelevant,Different topic

Describe your best friend.,My best friend is honest and helpful.,relevant,Relevant description
Describe your best friend.,He always supports me during difficult times.,relevant,Relevant answer
Describe your best friend.,"She is kind, hardworking, and friendly.",relevant,Correct description
Describe your best friend.,We enjoy studying together every weekend.,relevant,Relevant explanation
Describe your best friend.,I want to buy a new phone.,irrelevant,Off-topic
Describe your best friend.,The movie was very interesting.,irrelevant,Different topic

What is your favorite book?,"My favorite book is ""The Alchemist"" because it inspires me.",relevant,Answers the question directly
What is your favorite book?,"I love reading ""Muna Madan"" by Laxmi Prasad Devkota.",relevant,Correct book response
What is your favorite book?,"I really enjoy fantasy books, especially the Harry Potter series.",relevant,Relevant answer
What is your favorite book?,"My favorite is Saya by Subin Bhattarai, it's a great love story.",relevant,Relevant suggestion
What is your favorite book?,I like to play chess with my friends.,irrelevant,Off-topic activity
What is your favorite book?,The capital city of Nepal is Kathmandu.,irrelevant,Geographical fact unrelated

What do you want to become in the future?,I want to become a software engineer.,relevant,Direct career goal
What do you want to become in the future?,My dream is to be a doctor and help people.,relevant,Correct aspiration
What do you want to become in the future?,I aspire to be a teacher and educate children.,relevant,Relevant response
What do you want to become in the future?,I hope to become a successful businessman.,relevant,Relevant future plan
What do you want to become in the future?,I love eating chocolate cake.,irrelevant,Food preference unrelated
What do you want to become in the future?,The sun rises in the east.,irrelevant,Scientific fact irrelevant

Describe your daily routine.,I wake up at 6 AM and go for a walk.,relevant,Starts describing routine
Describe your daily routine.,I usually study for two hours in the evening.,relevant,Relevant daily activity
Describe your daily routine.,"After breakfast, I go to college or work.",relevant,Continues routine description
Describe your daily routine.,I have lunch at noon and rest for a while.,relevant,Relevant schedule detail
Describe your daily routine.,My favorite color is blue.,irrelevant,Personal preference unrelated
Describe your daily routine.,The weather is very hot today.,irrelevant,Irrelevant comment on weather

What is your favorite sport?,My favorite sport is football because it is exciting.,relevant,Answers correctly
What is your favorite sport?,I enjoy playing cricket with my friends.,relevant,Relevant sport
What is your favorite sport?,I like basketball because it is fast-paced.,relevant,Correct response
What is your favorite sport?,Tennis is a sport I love to watch and play.,relevant,Relevant answer
What is your favorite sport?,My mother is a great cook.,irrelevant,Family fact unrelated
What is your favorite sport?,I prefer reading books over anything else.,irrelevant,Hobby different from sports

Why do you like your school/college?,I like my school because the teachers are supportive.,relevant,Correct reason
Why do you like your school/college?,My college has a beautiful campus.,relevant,Relevant explanation
Why do you like your school/college?,I have many good friends there.,relevant,Relevant reason
Why do you like your school/college?,The library is excellent for studying.,relevant,Continues relevant reasons
Why do you like your school/college?,I live in a small village.,irrelevant,Not related to the question
Why do you like your school/college?,I am going to the market later.,irrelevant,Totally off-topic

What do you usually eat for breakfast?,I usually eat bread and eggs for breakfast.,relevant,Direct answer
What do you usually eat for breakfast?,I prefer oatmeal with fruits in the morning.,relevant,Relevant breakfast choice
What do you usually eat for breakfast?,My breakfast is typically a bowl of cereal.,relevant,Correct response
What do you usually eat for breakfast?,I like to eat dal bhat for breakfast sometimes.,relevant,Relevant answer
What do you usually eat for breakfast?,I like to sleep for 8 hours every night.,irrelevant,"About sleep, not breakfast"
What do you usually eat for breakfast?,Mountains are very beautiful.,irrelevant,Scenery description

Where do you want to travel next?,I want to travel to London next year.,relevant,Direct destination
Where do you want to travel next?,My dream is to visit Japan.,relevant,Relevant plan
Where do you want to travel next?,I plan to explore the villages of Nepal.,relevant,Relevant answer
Where do you want to travel next?,I would love to go to Paris and see the Eiffel Tower.,relevant,Correct response
Where do you want to travel next?,My father works very hard.,irrelevant,Family context unrelated
Where do you want to travel next?,I enjoy listening to the radio.,irrelevant,Irrelevant hobby

How do you spend your weekends?,I spend my weekends relaxing at home.,relevant,Correct activity
How do you spend your weekends?,I usually visit my relatives on weekends.,relevant,Relevant answer
How do you spend your weekends?,I go to the park or do some shopping.,relevant,Relevant description
How do you spend your weekends?,I like to watch movies and sleep late on weekends.,relevant,Relevant routine
How do you spend your weekends?,My favorite subject is mathematics.,irrelevant,Favorite subject unrelated
How do you spend your weekends?,The grass is green and the sky is blue.,irrelevant,Senseless statement

Tell me about your family.,There are four members in my family.,relevant,Directly starts description
Tell me about your family.,My father is a businessman and my mother is a teacher.,relevant,Relevant detail
Tell me about your family.,I have one elder brother and a younger sister.,relevant,Correct family info
Tell me about your family.,We love to go on trips together during holidays.,relevant,Relevant family activity
Tell me about your family.,My favorite food is pizza.,irrelevant,Food preference unrelated
Tell me about your family.,I bought a new car yesterday.,irrelevant,Irrelevant personal event

What is your favorite subject and why?,My favorite subject is English because I love reading stories.,relevant,Answers why clearly
What is your favorite subject and why?,I enjoy science because it is fascinating.,relevant,Correct subject and reason
What is your favorite subject and why?,Mathematics is my favorite because it challenges me.,relevant,Relevant answer
What is your favorite subject and why?,History is interesting to me because I like learning about the past.,relevant,Correct response
What is your favorite subject and why?,My friend is very tall and strong.,irrelevant,Unrelated description
What is your favorite subject and why?,I love traveling by train.,irrelevant,Irrelevant hobby

What is your hometown like?,My hometown is a small peaceful village surrounded by hills.,relevant,Good description
What is your hometown like?,It is a bustling city with lots of markets and traffic.,relevant,Relevant city description
What is your hometown like?,My hometown has beautiful rivers and friendly people.,relevant,Correct hometown description
What is your hometown like?,I like to eat pasta very much.,irrelevant,Food preference unrelated
What is your hometown like?,The laptop is very expensive.,irrelevant,Product complaint unrelated
What is your hometown like?,I went to the cinema yesterday.,irrelevant,Past activity unrelated

Describe your house or apartment.,I live in a modern apartment with three bedrooms.,relevant,Good housing description
Describe your house or apartment.,My house has a big garden and a small swimming pool.,relevant,Relevant house features
Describe your house or apartment.,It is a traditional house made of wood and stone.,relevant,Correct housing description
Describe your house or apartment.,My favorite color is red.,irrelevant,Color preference unrelated
Describe your house or apartment.,I have a new bicycle.,irrelevant,Possession unrelated
Describe your house or apartment.,The weather is very sunny today.,irrelevant,Weather comment unrelated

What do you do in your free time?,I enjoy reading novels and writing poetry.,relevant,Good free time activity
What do you do in your free time?,I play guitar and sing songs with my friends.,relevant,Relevant hobby
What do you do in your free time?,I go for long walks in the park every evening.,relevant,Correct free time activity
What do you do in your free time?,My father is a doctor.,irrelevant,Family occupation unrelated
What do you do in your free time?,I need to buy groceries today.,irrelevant,Shopping plan unrelated
What do you do in your free time?,The train arrives at 5 PM.,irrelevant,Schedule information unrelated

Describe a festival celebrated in your country.,Dashain is the biggest festival where families reunite.,relevant,Good festival description
Describe a festival celebrated in your country.,Tihar is celebrated with lights and colorful decorations.,relevant,Relevant festival detail
Describe a festival celebrated in your country.,Holi is a festival of colors and joy.,relevant,Correct festival description
Describe a festival celebrated in your country.,I have a new smartphone.,irrelevant,Possession unrelated
Describe a festival celebrated in your country.,The mountain is very tall.,irrelevant,Geographical fact unrelated
Describe a festival celebrated in your country.,I like to drink coffee every morning.,irrelevant,Beverage preference unrelated

What is your favorite type of weather?,I love sunny weather because it makes me happy.,relevant,Good weather preference
What is your favorite type of weather?,Rainy weather is my favorite as it feels refreshing.,relevant,Relevant weather description
What is your favorite type of weather?,I enjoy cold snowy weather during winter.,relevant,Correct weather preference
What is your favorite type of weather?,My mother is a teacher.,irrelevant,Family occupation unrelated
What is your favorite type of weather?,I have two brothers and one sister.,irrelevant,Family detail unrelated
What is your favorite type of weather?,The book is on the table.,irrelevant,Object location unrelated

Describe a memorable trip you took.,I went to Pokhara and enjoyed boating on Phewa Lake.,relevant,Good trip description
Describe a memorable trip you took.,My trip to Lumbini was peaceful and spiritual.,relevant,Relevant travel experience
Describe a memorable trip you took.,I visited Chitwan and saw elephants and rhinos.,relevant,Correct trip description
Describe a memorable trip you took.,My favorite food is noodles.,irrelevant,Food preference unrelated
Describe a memorable trip you took.,I wake up at 7 AM every day.,irrelevant,Daily routine unrelated
Describe a memorable trip you took.,The chair is very comfortable.,irrelevant,Object description unrelated

What is your favorite type of movie?,I love action movies because they are thrilling.,relevant,Good movie preference
What is your favorite type of movie?,Comedy movies are my favorite as they make me laugh.,relevant,Relevant movie genre
What is your favorite type of movie?,I enjoy romantic movies with beautiful love stories.,relevant,Correct movie preference
What is your favorite type of movie?,My garden has many flowers.,irrelevant,Garden description unrelated
What is your favorite type of movie?,The shop is closed today.,irrelevant,Shop status unrelated
What is your favorite type of movie?,I went to the gym this morning.,irrelevant,Exercise activity unrelated

Describe a person you admire.,I admire my mother because she is very hardworking.,relevant,Good person description
Describe a person you admire.,My teacher inspires me with his knowledge and kindness.,relevant,Relevant admiration description
Describe a person you admire.,I admire my grandfather for his wisdom and stories.,relevant,Correct person description
Describe a person you admire?,I bought a new car yesterday.,irrelevant,Purchase unrelated
Describe a person you admire?,The sky is very blue today.,irrelevant,Weather description unrelated
Describe a person you admire?,I have a pet dog named Tommy.,irrelevant,Pet description unrelated

What is your favorite season and why?,Autumn is my favorite because the weather is pleasant.,relevant,Good season preference with reason
What is your favorite season and why?,I love spring because flowers bloom everywhere.,relevant,Relevant season with reason
What is your favorite season and why?,Winter is my favorite as I enjoy wearing warm clothes.,relevant,Correct season preference with reason
What is your favorite season and why?,My school is very big.,irrelevant,School description unrelated
What is your favorite season and why?,I like to eat rice every day.,irrelevant,Food habit unrelated
What is your favorite season and why?,The city is very noisy.,irrelevant,City description unrelated

Describe a skill you want to learn.,I want to learn how to play the piano.,relevant,Good skill description
Describe a skill you want to learn.,I want to learn cooking because I love food.,relevant,Relevant skill to learn
Describe a skill you want to learn.,I want to learn swimming for my fitness.,relevant,Correct skill description
Describe a skill you want to learn.,My bedroom is very small.,irrelevant,Room description unrelated
Describe a skill you want to learn.,I went shopping last weekend.,irrelevant,Shopping activity unrelated
Describe a skill you want to learn.,The sun is very bright.,irrelevant,Nature description unrelated

What is your favorite type of music?,I love folk music because it tells beautiful stories.,relevant,Good music preference
What is your favorite type of music?,Pop music is my favorite for its catchy tunes.,relevant,Relevant music genre
What is your favorite type of music?,I enjoy classical music as it is very peaceful.,relevant,Correct music preference
What is your favorite type of music?,My house is near a river.,irrelevant,Location description unrelated
What is your favorite type of music?,I drink tea every morning.,irrelevant,Beverage habit unrelated
What is your favorite type of music?,The table is made of wood.,irrelevant,Object description unrelated

Tell me about your daily routine.,I wake up at 6 AM and do some exercise.,relevant,Good routine description
Tell me about your daily routine.,I usually have breakfast at 7:30 and then go to work.,relevant,Relevant daily activity
Tell me about your daily routine.,In the evening I like to read books before sleeping.,relevant,Correct routine detail
Tell me about your daily routine.,My sister lives in Australia.,irrelevant,Family location unrelated
Tell me about your daily routine.,The coffee is very hot.,irrelevant,Beverage comment unrelated
Tell me about your daily routine.,I have a blue car.,irrelevant,Possession description unrelated

What do you like about your job or studies?,I enjoy meeting new people at my workplace.,relevant,Good job aspect
What do you like about your job or studies?,I love learning new things in my studies.,relevant,Relevant study aspect
What do you like about your job or studies?,My job allows me to travel to different places.,relevant,Correct job benefit
What do you like about your job or studies?,My neighbor is very noisy.,irrelevant,Neighbor complaint unrelated
What do you like about your job or studies?,The park is very beautiful.,irrelevant,Park description unrelated
What do you like about your job or studies?,I want to buy a new phone.,irrelevant,Shopping desire unrelated

Describe your best childhood memory.,I remember playing football with my friends every evening.,relevant,Good childhood memory
Describe your best childhood memory.,My favorite memory is going to the zoo with my parents.,relevant,Relevant childhood experience
Describe your best childhood memory.,I loved visiting my grandparents during summer holidays.,relevant,Correct childhood memory
Describe your best childhood memory.,My laptop is very old.,irrelevant,Device description unrelated
Describe your best childhood memory.,The bus is always late.,irrelevant,Transport complaint unrelated
Describe your best childhood memory.,I like to eat apples.,irrelevant,Food preference unrelated

What is your favorite place to visit?,I love going to the beach to relax and swim.,relevant,Good place description
What is your favorite place to visit?,My favorite place is a peaceful temple in the hills.,relevant,Relevant place to visit
What is your favorite place to visit?,I enjoy visiting museums to learn about history.,relevant,Correct place description
What is your favorite place to visit?,My brother is a pilot.,irrelevant,Family occupation unrelated
What is your favorite place to visit?,The food is very delicious.,irrelevant,Food comment unrelated
What is your favorite place to visit?,I woke up late today.,irrelevant,Daily event unrelated

Describe a traditional dish from your country.,Momo is a popular dish filled with meat or vegetables.,relevant,Good dish description
Describe a traditional dish from your country.,Dal bhat is eaten daily with lentils and rice.,relevant,Relevant traditional food
Describe a traditional dish from your country.,Sel roti is a sweet ring-shaped bread eaten during festivals.,relevant,Correct dish description
Describe a traditional dish from your country.,My house has three rooms.,irrelevant,House description unrelated
Describe a traditional dish from your country.,The river flows very fast.,irrelevant,Nature description unrelated
Describe a traditional dish from your country.,I have a meeting at 2 PM.,irrelevant,Schedule unrelated

What kind of books do you like to read?,I enjoy reading mystery and thriller novels.,relevant,Good book preference
What kind of books do you like to read?,I love reading self-help books to improve myself.,relevant,Relevant book genre
What kind of books do you like to read?,I prefer reading historical fiction and biographies.,relevant,Correct book preference
What kind of books do you like to read?,My father is a businessman.,irrelevant,Family occupation unrelated
What kind of books do you like to read?,The garden has many flowers.,irrelevant,Garden description unrelated
What kind of books do you like to read?,I went to the market yesterday.,irrelevant,Shopping trip unrelated

Describe your favorite teacher.,My favorite teacher is very patient and kind to everyone.,relevant,Good teacher description
Describe your favorite teacher.,He explains difficult topics in a simple way.,relevant,Relevant teaching quality
Describe your favorite teacher.,She always encourages us to do our best.,relevant,Correct teacher quality
Describe your favorite teacher.,The car is very fast.,irrelevant,Car description unrelated
Describe your favorite teacher.,I like to wear blue shirts.,irrelevant,Clothing preference unrelated
Describe your favorite teacher.,The restaurant is very expensive.,irrelevant,Restaurant comment unrelated

How do you usually relax after work or study?,I like to listen to music and take a nap.,relevant,Good relaxation method
How do you usually relax after work or study?,I go for a walk in the park to clear my mind.,relevant,Relevant relaxation activity
How do you usually relax after work or study?,I watch funny videos on my phone.,relevant,Correct relaxation method
How do you usually relax after work or study?,My mother is a nurse.,irrelevant,Family occupation unrelated
How do you usually relax after work or study?,The mountain is very high.,irrelevant,Nature description unrelated
How do you usually relax after work or study?,I have a new watch.,irrelevant,Possession description unrelated

Describe a famous person from your country.,A famous person is our former prime minister.,relevant,Good famous person description
Describe a famous person from your country.,Tenzing Norgay was a famous mountaineer.,relevant,Relevant historical figure
Describe a famous person from your country.,Our national poet is very famous for his writings.,relevant,Correct famous person
Describe a famous person from your country.,My bedroom is very small.,irrelevant,Room description unrelated
Describe a famous person from your country.,The tea is very sweet.,irrelevant,Beverage comment unrelated
Describe a famous person from your country.,I take the bus to work.,irrelevant,Transport habit unrelated

What is your favorite outdoor activity?,I love cycling in the countryside on weekends.,relevant,Good outdoor activity
What is your favorite outdoor activity?,I enjoy hiking in the mountains with my friends.,relevant,Relevant outdoor activity
What is your favorite outdoor activity?,I like playing cricket in the park.,relevant,Correct outdoor activity
What is your favorite outdoor activity?,My sister is a doctor.,irrelevant,Family occupation unrelated
What is your favorite outdoor activity?,The chair is very comfortable.,irrelevant,Object description unrelated
What is your favorite outdoor activity?,I drink coffee every day.,irrelevant,Beverage habit unrelated

Describe a piece of technology you use often.,I use my smartphone every day to communicate with friends.,relevant,Good technology description
Describe a piece of technology you use often.,My laptop helps me study and do research.,relevant,Relevant technology use
Describe a piece of technology you use often.,I use headphones to listen to music and take calls.,relevant,Correct technology description
Describe a piece of technology you use often.,My friend lives in London.,irrelevant,Friend location unrelated
Describe a piece of technology you use often.,The food is very spicy.,irrelevant,Food comment unrelated
Describe a piece of technology you use often.,I visited my aunt yesterday.,irrelevant,Social visit unrelated

What is your favorite color and why?,Blue is my favorite because it reminds me of the sky.,relevant,Good color preference with reason
What is your favorite color and why?,I love red because it symbolizes energy and passion.,relevant,Relevant color preference
What is your favorite color and why?,Green is my favorite as it represents nature and peace.,relevant,Correct color preference
What is your favorite color and why?,My uncle is a farmer.,irrelevant,Family occupation unrelated
What is your favorite color and why?,The train is very crowded.,irrelevant,Transport comment unrelated
What is your favorite color and why?,I bought a new bag yesterday.,irrelevant,Shopping activity unrelated

Describe a pet you have or would like to have.,I have a dog named Rocky who is very loyal.,relevant,Good pet description
Describe a pet you have or would like to have.,I would like to have a cat because they are independent.,relevant,Relevant pet preference
Describe a pet you have or would like to have.,I love rabbits because they are soft and cute.,relevant,Correct pet description
Describe a pet you have or would like to have.,My school is far from home.,irrelevant,School location unrelated
Describe a pet you have or would like to have.,The pizza is very tasty.,irrelevant,Food comment unrelated
Describe a pet you have or would like to have.,I wake up at 5 AM daily.,irrelevant,Daily routine unrelated

What do you like to cook or eat?,I love cooking pasta with fresh vegetables.,relevant,Good cooking preference
What do you like to cook or eat?,I enjoy eating grilled fish and rice.,relevant,Relevant food preference
What do you like to cook or eat?,I like making omelettes for breakfast.,relevant,Correct food description
What do you like to cook or eat?,My brother plays football.,irrelevant,Sibling activity unrelated
What do you like to cook or eat?,The room is very dark.,irrelevant,Room description unrelated
What do you like to cook or eat?,I have a new bicycle.,irrelevant,Possession description unrelated

Describe a place you want to visit in the future.,I want to visit Switzerland for its beautiful mountains.,relevant,Good future travel plan
Describe a place you want to visit in the future.,I dream of visiting Egypt to see the pyramids.,relevant,Relevant travel destination
Describe a place you want to visit in the future.,I would like to explore the forests of Brazil.,relevant,Correct travel plan
Describe a place you want to visit in the future.,My mother is a teacher.,irrelevant,Family occupation unrelated
Describe a place you want to visit in the future.,The water is very cold.,irrelevant,Nature description unrelated
Describe a place you want to visit in the future.,I went to the park yesterday.,irrelevant,Past activity unrelated

What is your favorite type of clothing?,I love wearing comfortable jeans and t-shirts.,relevant,Good clothing preference
What is your favorite type of clothing?,I prefer traditional clothes like kurta during festivals.,relevant,Relevant clothing preference
What is your favorite type of clothing?,I like dresses because they are elegant.,relevant,Correct clothing preference
What is your favorite type of clothing?,My father is an engineer.,irrelevant,Family occupation unrelated
What is your favorite type of clothing?,The sky is very cloudy today.,irrelevant,Weather description unrelated
What is your favorite type of clothing?,I need to buy milk.,irrelevant,Shopping list unrelated

Describe a sport you like to watch.,I love watching cricket matches with my family.,relevant,Good sport to watch
Describe a sport you like to watch.,I enjoy watching football because it is very exciting.,relevant,Relevant sport preference
Describe a sport you like to watch.,I like watching tennis during grand slams.,relevant,Correct sport description
Describe a sport you like to watch.,My house is very old.,irrelevant,House description unrelated
Describe a sport you like to watch.,The coffee is too strong.,irrelevant,Beverage comment unrelated
Describe a sport you like to watch.,I walk to work every day.,irrelevant,Transport habit unrelated

What do you like about your hometown?,I love the peaceful environment and fresh air.,relevant,Good hometown feature
What do you like about your hometown?,I love the friendly people and community spirit.,relevant,Relevant hometown quality
What do you like about your hometown?,The festivals celebrated there are very colorful.,relevant,Correct hometown feature
What do you like about your hometown?,My sister loves painting.,irrelevant,Sibling hobby unrelated
What do you like about your hometown?,The bus is very old.,irrelevant,Vehicle description unrelated
What do you like about your hometown?,I eat rice every day.,irrelevant,Food habit unrelated

Describe a childhood game you enjoyed.,I loved playing hide and seek with my cousins.,relevant,Good childhood game
Describe a childhood game you enjoyed.,We used to play cricket in the street every evening.,relevant,Relevant childhood activity
Describe a childhood game you enjoyed.,I enjoyed playing hopscotch with my friends.,relevant,Correct childhood game
Describe a childhood game you enjoyed.,My phone is not working.,irrelevant,Device complaint unrelated
Describe a childhood game you enjoyed.,The garden has many trees.,irrelevant,Garden description unrelated
Describe a childhood game you enjoyed.,I drink tea in the morning.,irrelevant,Beverage habit unrelated

What is your favorite animal?,I love elephants because they are so gentle and wise.,relevant,Good animal preference
What is your favorite animal?,Dogs are my favorite because they are very loyal.,relevant,Relevant animal preference
What is your favorite animal?,I like dolphins because they are intelligent.,relevant,Correct animal preference
What is your favorite animal?,My cousin is a doctor.,irrelevant,Family occupation unrelated
What is your favorite animal?,The book is very interesting.,irrelevant,Book comment unrelated
What is your favorite animal?,I went to the cinema last night.,irrelevant,Past activity unrelated

Describe a family tradition you have.,We celebrate Dashain by visiting all our relatives.,relevant,Good family tradition
Describe a family tradition you have.,We gather for dinner every Sunday evening.,relevant,Relevant family custom
Describe a family tradition you have.,We make special sweets during Tihar festival.,relevant,Correct family tradition
Describe a family tradition you have.,My laptop is very fast.,irrelevant,Device description unrelated
Describe a family tradition you have.,The river is very wide.,irrelevant,Nature description unrelated
Describe a family tradition you have.,I like to sleep early.,irrelevant,Sleep habit unrelated

What do you like about your best friend?,I like his honesty and sense of humor.,relevant,Good friend quality
What do you like about your best friend?,She is always there for me when I need help.,relevant,Relevant friend quality
What do you like about your best friend?,I appreciate his kindness and positive attitude.,relevant,Correct friend quality
What do you like about your best friend?,My room is very messy.,irrelevant,Room description unrelated
What do you like about your best friend?,The food is very salty.,irrelevant,Food comment unrelated
What do you like about your best friend?,I have a new watch.,irrelevant,Possession description unrelated

Describe a type of transport you like.,I like traveling by train because it is comfortable.,relevant,Good transport preference
Describe a type of transport you like.,I prefer flying because it is fast and convenient.,relevant,Relevant transport mode
Describe a type of transport you like.,I enjoy traveling by bus to see the scenery.,relevant,Correct transport preference
Describe a type of transport you like.,My neighbor has a dog.,irrelevant,Neighbor description unrelated
Describe a type of transport you like.,The soup is very hot.,irrelevant,Food comment unrelated
Describe a type of transport you like.,I study in my room every evening.,irrelevant,Study habit unrelated

What do you like about the place you live?,I like the peaceful atmosphere and green surroundings.,relevant,Good living place feature
What do you like about the place you live?,I love the convenience of shops and markets nearby.,relevant,Relevant place feature
What do you like about the place you live?,The neighbors are very friendly and helpful.,relevant,Correct place feature
What do you like about the place you live?,My brother is a pilot.,irrelevant,Family occupation unrelated
What do you like about the place you live?,The chair is broken.,irrelevant,Object description unrelated
What do you like about the place you live?,I like to sing songs.,irrelevant,Hobby unrelated

Describe a subject you found difficult.,I found mathematics challenging in school.,relevant,Good difficult subject
Describe a subject you found difficult.,Physics was very hard for me to understand.,relevant,Relevant difficult subject
Describe a subject you found difficult.,I struggled with chemistry formulas.,relevant,Correct difficult subject
Describe a subject you found difficult.,My garden has many roses.,irrelevant,Garden description unrelated
Describe a subject you found difficult.,The car is very expensive.,irrelevant,Vehicle comment unrelated
Describe a subject you found difficult.,I drink water every hour.,irrelevant,Beverage habit unrelated

What is your favorite type of holiday?,I love beach holidays to relax and swim.,relevant,Good holiday preference
What is your favorite type of holiday?,I prefer adventure holidays like trekking.,relevant,Relevant holiday type
What is your favorite type of holiday?,I enjoy cultural holidays to learn about history.,relevant,Correct holiday preference
What is your favorite type of holiday?,My aunt lives in America.,irrelevant,Family location unrelated
What is your favorite type of holiday?,The tea is very sweet.,irrelevant,Beverage comment unrelated
What is your favorite type of holiday?,I bought new shoes today.,irrelevant,Shopping activity unrelated

Describe a hobby you want to start.,I want to start photography to capture beautiful moments.,relevant,Good hobby to start
Describe a hobby you want to start.,I want to learn gardening to grow my own vegetables.,relevant,Relevant hobby idea
Describe a hobby you want to start.,I want to start painting to express my creativity.,relevant,Correct hobby description
Describe a hobby you want to start.,My father works in a bank.,irrelevant,Family occupation unrelated
Describe a hobby you want to start.,The room is very bright.,irrelevant,Room description unrelated
Describe a hobby you want to start.,I ate lunch at noon.,irrelevant,Meal time unrelated

What do you like about your city?,I love the historical places and monuments.,relevant,Good city feature
What do you like about your city?,The city has excellent restaurants and cafes.,relevant,Relevant city quality
What do you like about your city?,I like the parks and green spaces for relaxation.,relevant,Correct city feature
What do you like about your city?,My brother has a new bike.,irrelevant,Sibling possession unrelated
What do you like about your city?,The weather is very cold today.,irrelevant,Weather comment unrelated
What do you like about your city?,I went to school by bus.,irrelevant,Transport habit unrelated

Describe a memorable event in your life.,My graduation day was very special and emotional.,relevant,Good memorable event
Describe a memorable event in your life.,The day I got my first job was unforgettable.,relevant,Relevant life event
Describe a memorable event in your life.,My wedding day was the happiest day of my life.,relevant,Correct memorable event
Describe a memorable event in your life.,My phone battery is dead.,irrelevant,Device issue unrelated
Describe a memorable event in your life.,The river flows into the sea.,irrelevant,Geographical fact unrelated
Describe a memorable event in your life.,I like to eat apples.,irrelevant,Food preference unrelated

What do you like to do on rainy days?,I love to read books while listening to rain sounds.,relevant,Good rainy day activity
What do you like to do on rainy days?,I like to drink hot tea and watch movies.,relevant,Relevant rainy day activity
What do you like to do on rainy days?,I enjoy sleeping in on rainy afternoons.,relevant,Correct rainy day activity
What do you like to do on rainy days?,My mother is a nurse.,irrelevant,Family occupation unrelated
What do you like to do on rainy days?,The table is made of wood.,irrelevant,Object description unrelated
What do you like to do on rainy days?,I walk my dog every morning.,irrelevant,Daily routine unrelated

